Neural_Delay_tau,Predictive_Horizon_Tpred,Stable,Control_Effort,Total_Free_Energy
0.08421052631578947,0.21052631578947367,1,0.4131082031078022,0.004463548052234598
0.08421052631578947,0.23157894736842105,1,0.3969070086618027,0.004606998239543605
0.08421052631578947,0.25263157894736843,1,0.3829973197646656,0.004773708924913442
0.08421052631578947,0.2736842105263158,1,0.370968630392541,0.0049632517745546055
0.08421052631578947,0.29473684210526313,1,0.360500922931068,0.005175700789138272
0.08421052631578947,0.3157894736842105,1,0.35134117412908356,0.005411548312977964
0.08421052631578947,0.3368421052631579,1,0.3432867931984092,0.005671653683503236
0.08421052631578947,0.35789473684210527,1,0.3361737253552568,0.005957215353500835
0.08421052631578947,0.37894736842105264,1,0.32986775959772113,0.006269760899794688
0.08421052631578947,0.4,1,0.3216848917142553,0.006793340738747343
0.10526315789473684,0.0,1,0.5156984331846419,0.004397666456342493
0.10526315789473684,0.021052631578947368,1,0.5368961367184423,0.004175451853341404
0.10526315789473684,0.042105263157894736,1,0.5717940295985993,0.004142785563794001
0.10526315789473684,0.06315789473684211,1,0.5980514799701959,0.004179408788492381
0.10526315789473684,0.08421052631578947,1,0.6158088906771159,0.004235695287777897
0.10526315789473684,0.10526315789473684,1,0.6254729040816156,0.004292197364895261
0.10526315789473684,0.12631578947368421,1,0.568988273286734,0.004217596401641152
0.10526315789473684,0.14736842105263157,1,0.5245931096112878,0.004202229181799914
0.10526315789473684,0.16842105263157894,1,0.48898453946738535,0.004232514583851651
0.10526315789473684,0.18947368421052632,1,0.4599315613993858,0.0042998426192443024
0.10526315789473684,0.21052631578947367,1,0.42537975013337126,0.004458693417488055
0.10526315789473684,0.23157894736842105,1,0.40686626337122384,0.0045984579705273
0.10526315789473684,0.25263157894736843,1,0.3911235034559867,0.004763144690217355
0.10526315789473684,0.2736842105263158,1,0.3776270323858532,0.004951849431662191
0.10526315789473684,0.29473684210526313,1,0.365974357519222,0.00516429492708213
0.10526315789473684,0.3157894736842105,1,0.3558515993020157,0.005400708757388273
0.10526315789473684,0.3368421052631579,1,0.3470104748124512,0.005661747828267175
0.10526315789473684,0.35789473684210527,1,0.3392520742839013,0.005948454859474908
0.10526315789473684,0.37894736842105264,1,0.33241520973323735,0.006262238098046945
0.10526315789473684,0.4,1,0.32360549272731,0.006787657780795802
0.12631578947368421,0.0,1,0.6423286774072663,0.00490839877512337
0.12631578947368421,0.021052631578947368,1,0.5169510319446656,0.004315469183711429
0.12631578947368421,0.042105263157894736,1,0.5444615438748879,0.00415362338568605
0.12631578947368421,0.06315789473684211,1,0.5737747747005221,0.0041442545972830685
0.12631578947368421,0.08421052631578947,1,0.594525163552368,0.004187980482678336
0.12631578947368421,0.10526315789473684,1,0.607071106266627,0.004245991802805265
0.12631578947368421,0.12631578947368421,1,0.6120123828854168,0.004304855905016849
0.12631578947368421,0.14736842105263157,1,0.5571005679426063,0.004255675646596471
0.12631578947368421,0.16842105263157894,1,0.5139796901027979,0.004263951155589285
0.12631578947368421,0.18947368421052632,1,0.4794281617419765,0.004316836309666078
0.12631578947368421,0.21052631578947367,1,0.4390972143208833,0.0044628930319621845
0.12631578947368421,0.23157894736842105,1,0.41783684793340037,0.004597900258226673
0.12631578947368421,0.25263157894736843,1,0.39995673049618186,0.004759767015644246
0.12631578947368421,0.2736842105263158,1,0.38477799566723314,0.004946984183810036
