time,theta_ideal,theta_naive,theta_pred,u_naive,u_pred,F_ideal,F_naive,F_pred
1.5037593984962405,0.010372455865126416,-0.03637620409939293,0.010372455865126416,2.184008721495947,-0.07459701027960602,9.540630437873687e-05,0.024567552209106912,9.540630437873687e-05
1.5137844611528821,0.010207721439996754,-0.03662094808646662,0.010207721439996754,2.199543154897551,-0.07340990770333325,9.239865014707842e-05,0.02487227382731018,9.239865014707842e-05
1.5238095238095237,0.010045600483363521,-0.036682416631356504,0.010045600483363521,2.204998926574294,-0.07224179405522971,8.948582262855614e-05,0.02498336698583931,8.948582262855614e-05
1.5338345864661653,0.009886051720162513,-0.036559620403255215,0.009886051720162513,2.2002955557225494,-0.0710923592180803,8.666483120528887e-05,0.024897937454046896,8.666483120528887e-05
1.543859649122807,0.009729034514934242,-0.036252401386684716,0.009729034514934242,2.1853985606374025,-0.06996129854972577,8.393277964511685e-05,0.024616712092669288,8.393277964511685e-05
1.5538847117794485,0.009574508862715691,-0.035761438472742664,0.009574508862715691,2.160319879314883,-0.06884831276058961,8.128686311733628e-05,0.024144066123438456,8.128686311733628e-05
1.5639097744360901,0.009422435380008365,-0.035088249245994955,0.009422435380008365,2.1251180812767774,-0.06775310779544244,7.872436530321957e-05,0.02348798367369588,7.872436530321957e-05
1.5739348370927317,0.009272775295825864,-0.03423518793738356,0.009272775295825864,2.079898368267329,-0.06667539471918883,7.624265559827622e-05,0.022659951559020734,7.624265559827622e-05
1.5839598997493733,0.009125490442823849,-0.03320543953092101,0.009125490442823849,2.0248123623181002,-0.06561488960647449,7.383918640330934e-05,0.021674787486469133,7.383918640330934e-05
1.593984962406015,0.00898054324851497,-0.032003010029510615,0.00898054324851497,1.9600576805790482,-0.06457131343492388,7.151149050142068e-05,0.020550405074992395,7.151149050142068e-05
1.6040100250626566,0.008837896726571029,-0.03063271290288817,0.008837896726571029,1.885877297265028,-0.0635443919818296,6.925717851821016e-05,0.019307519275758956,6.925717851821016e-05
1.6140350877192982,0.008697514468214372,-0.029100151758345603,0.008697514468214372,1.8025586940604996,-0.0625338557241251,6.707393646250631e-05,0.017969296911231756,6.707393646250631e-05
1.6240601503759398,0.008559360633700287,-0.027411699292484357,0.008559360633700287,1.7104328013525696,-0.061539439741483695,6.495952334505223e-05,0.016560958116154587,6.495952334505223e-05
1.6340852130325814,0.008423399943891892,-0.02557447259966996,0.008423399943891892,1.609872733713083,-0.06056088362239355,6.291176887265423e-05,0.015109335435150492,6.291176887265423e-05
