time_days,EI,GJ,K_odd,Lambda1_real,Lambda1_imag,Lambda2_real,Lambda2_imag,cobb_rate,is_complex,cobb_angle
769.7697697697698,84.6046046046046,72.30230230230231,14.729747112452706,78.45345345345345,13.3839003848841,78.45345345345345,-13.3839003848841,1.3383900384884102,True,745.3361978845641
770.7707707707708,84.58458458458458,72.29229229229229,14.64718217204554,78.43843843843842,13.295293645922289,78.43843843843842,-13.295293645922289,1.329529364592229,True,746.6657272491562
771.7717717717718,84.56456456456456,72.28228228228228,14.56483865149389,78.42342342342343,13.20685088992202,78.42342342342343,-13.20685088992202,1.3206850889922022,True,747.9864123381484
772.7727727727729,84.54454454454454,72.27227227227228,14.482722876295792,78.4084084084084,13.118578247294401,78.4084084084084,-13.118578247294401,1.3118578247294401,True,749.2982701628779
773.7737737737739,84.52452452452452,72.26226226226225,14.40084108371908,78.39339339339338,13.030481762828495,78.39339339339338,-13.030481762828495,1.3030481762828496,True,750.6013183391607
774.7747747747749,84.5045045045045,72.25225225225225,14.31919942231426,78.37837837837837,12.94256739533544,78.37837837837837,-12.94256739533544,1.294256739533544,True,751.8955750786943
775.7757757757759,84.48448448448448,72.24224224224224,14.237803951453804,78.36336336336336,12.854841017321002,78.36336336336336,-12.854841017321002,1.2854841017321004,True,753.1810591804264
776.7767767767768,84.46446446446447,72.23223223223223,14.156660640897599,78.34834834834835,12.767308414686468,78.34834834834835,-12.767308414686468,1.276730841468647,True,754.457790021895
777.7777777777778,84.44444444444444,72.22222222222223,14.075775370384582,78.33333333333334,12.679975286457761,78.33333333333334,-12.679975286457761,1.2679975286457763,True,755.7257875505408
778.7787787787788,84.42442442442442,72.21221221221221,13.995153929250364,78.31831831831832,12.592847244542659,78.31831831831832,-12.592847244542659,1.259284724454266,True,756.985072274995
779.7797797797798,84.4044044044044,72.2022022022022,13.914802016070787,78.3033033033033,12.50592981351609,78.3033033033033,-12.50592981351609,1.250592981351609,True,758.2356652563466
780.7807807807809,84.38438438438438,72.1921921921922,13.83472523833125,78.28828828828829,12.419228430433256,78.28828828828829,-12.419228430433256,1.2419228430433256,True,759.4775880993899
781.7817817817819,84.36436436436436,72.18218218218217,13.754929112121774,78.27327327327328,12.332748444670628,78.27327327327328,-12.332748444670628,1.233274844467063,True,760.7108629438569
782.7827827827829,84.34434434434434,72.17217217217217,13.675419061857442,78.25825825825825,12.246495117794447,78.25825825825825,-12.246495117794447,1.224649511779445,True,761.9355124556364
783.7837837837839,84.32432432432432,72.16216216216216,13.596200420024363,78.24324324324324,12.160473623456795,78.24324324324324,-12.160473623456795,1.2160473623456796,True,763.151559817982
784.7847847847848,84.30430430430431,72.15215215215215,13.517278426950783,78.22822822822823,12.074689047318982,78.22822822822823,-12.074689047318982,1.2074689047318983,True,764.3590287227139
785.7857857857858,84.28428428428428,72.14214214214215,13.438658230603277,78.21321321321321,11.989146387002087,78.21321321321321,-11.989146387002087,1.1989146387002088,True,765.5579433614141
786.7867867867868,84.26426426426426,72.13213213213213,13.360344886407836,78.19819819819818,11.903850552064478,78.19819819819818,-11.903850552064478,1.1903850552064479,True,766.7483284166206
787.7877877877878,84.24424424424424,72.12212212212212,13.282343357095675,78.18318318318319,11.81880636400618,78.18318318318319,-11.81880636400618,1.181880636400618,True,767.9302090530211
