chi_kappa,gravity,D_geo,D_geo_norm,base_energy,passive_energy,S_lat_asym,cobb_asym_deg,lat_dev_max_asym,S_lat_sym,cobb_sym_deg,scoliosis_regime
0.045,0.5,0.35866309864215157,0.14847435308576926,5.835398355778911,2.1337622112173045,1.78244075901068,34.60067382651734,0.3400847615911318,1.7826184743637137,34.60740165721066,True
0.045,0.2,0.35866049940909817,0.14847998497005538,5.834871116239487,2.133570180873638,1.7825353714612118,34.59940501091977,0.340089739478521,1.7827131061174268,34.60613267084716,True
0.045,0.1,0.35865963303353654,0.14848186239012795,5.83469537521258,2.1335061728074316,1.782566910627589,34.59898207239266,0.34009139873315386,1.782744651718798,34.60570967539823,True
0.045,0.05,0.3586591998524038,0.14848280112366152,5.834607505727795,2.133474169158393,1.782582680526335,34.59877060313014,0.3400922283527518,1.7827604248351574,34.605498177674704,True
0.045,0.01,0.3586588533106887,0.1484835521217674,5.834537210633727,2.1334485664235134,1.7825952965968028,34.59860142772062,0.3400928920447253,1.7827730434797693,34.60532897949648,True
0.05,9.81,0.391360298577692,0.16178305979583474,5.851772627359603,2.1397261344792935,1.7743986250251211,34.63792143643735,0.339706190682631,1.7746173095142874,34.6446431394377,True
0.05,4.9,0.3913233668780081,0.16188732869179703,5.8431340387393575,2.136579715253792,1.7759375231670838,34.61715471566574,0.33978787674128486,1.7761565754080961,34.62387362372681,True
0.05,2.0,0.3913015727943587,0.16194899191340228,5.838034923796727,2.1347225011991426,1.7768473884573897,34.60488924204996,0.3398360998078457,1.7770666582981616,34.611606499332126,True
0.05,1.0,0.39129406085439067,0.16197026866953868,5.836277143206944,2.1340822822735643,1.7771612978332134,34.60065976890673,0.3398527244417287,1.7773806427763468,34.60737645695481,True
0.05,0.5,0.3912903055116309,0.1619809096601182,5.835398355778911,2.1337622112173045,1.777318283834545,34.59854503243443,0.33986103598748557,1.7775376663419418,34.605261435865486,True
0.05,0.2,0.39128805250669374,0.16198729509069085,5.834871116239487,2.133570180873638,1.7774124854583044,34.59727619058277,0.33986602266815036,1.7776318905084447,34.60399242324359,True
0.05,0.1,0.3912873015385016,0.16198942370693756,5.83469537521258,2.1335061728074316,1.7774438876702705,34.59685324330436,0.339867684853906,1.7776633002353595,34.60356941904165,True
0.05,0.05,0.39128692606067833,0.16199048804119826,5.834607505727795,2.133474169158393,1.7774595890895346,34.596641769666064,0.3398685159390716,1.7776790054122271,34.60335791694163,True
0.05,0.01,0.3912866256814304,0.16199133952115294,5.834537210633727,2.1334485664235134,1.7774721503753248,34.596472590755894,0.3398691808035021,1.7776915697041635,34.60318871526221,True
0.055,9.81,0.4246739918374571,0.17555449049090494,5.851772627359603,2.1397261344792935,1.7693108743818735,34.63580109388036,0.3394812597111986,1.769570769719712,34.64251135132242,True
0.055,4.9,0.42464191040838695,0.175670942103556,5.8431340387393575,2.136579715253792,1.770843117610268,34.615033952016105,0.3395630894571229,1.7711034327896693,34.62174141443102,True
0.055,2.0,0.4246229799309806,0.17573980869028227,5.838034923796727,2.1347225011991426,1.7717490455069689,34.60276822957537,0.33961139740773516,1.7720096091040514,34.609474041159366,True
0.055,1.0,0.424616455249188,0.17576357072235488,5.836277143206944,2.1340822822735643,1.7720615959891632,34.59853867061063,0.33962805131505264,1.7723222453244636,34.60524391294253,True
0.055,0.5,0.4246131934985311,0.17577545461201163,5.835398355778911,2.1337622112173045,1.7722179023181592,34.59642389122385,0.3396363774981169,1.7724785945373769,34.60312884892988,True
0.055,0.2,0.42461123663701883,0.17578258586560672,5.834871116239487,2.133570180873638,1.772311696066323,34.59515502362236,0.3396413729613552,1.7725724140206351,34.60185981055271,True
0.055,0.1,0.42461058438132865,0.17578496310345867,5.83469537521258,2.1335061728074316,1.7723429623077263,34.594732067760226,0.33964303807466717,1.772603688841193,34.601436797765324,True
0.055,0.05,0.42461025825938636,0.1757861517511342,5.834607505727795,2.133474169158393,1.7723585957394519,34.594520589830175,0.33964387062361673,1.7726193265626435,34.601225291372714,True
0.055,0.01,0.42460999736466576,0.1757871026830747,5.834537210633727,2.1334485664235134,1.7723711026341262,34.59435140748669,0.33964453665907696,1.7726318368891685,34.6010560862591,True
0.06,9.81,0.4585329774720034,0.18955133768631016,5.851772627359603,2.1397261344792935,1.7642449714058739,34.63368856734031,0.3392553973042801,1.764545725410948,34.64038736096692,True
0.06,4.9,0.4585050738341603,0.1896798603845877,5.8431340387393575,2.136579715253792,1.7657706073737374,34.61292101289355,0.339337370561406,1.7660718325513403,34.61961701138846,True
0.06,2.0,0.4584886098317307,0.18975586434723493,5.838034923796727,2.1347225011991426,1.766672626086426,34.600655046659334,0.3393857632921306,1.7669741300504784,34.60734939426166,True
0.06,1.0,0.4584829354760018,0.18978208889063822,5.836277143206944,2.1340822822735643,1.7669838274135097,34.59642540360918,0.3394024464370496,1.7672854275965793,34.60311918193826,True
0.06,0.5,0.45848009885326146,0.18979520429520252,5.835398355778911,2.1337622112173045,1.7671394589415648,34.59431058217609,0.3394107872395071,1.7674411072506493,34.601004075868524,True
0.06,0.2,0.45847839705726096,0.18980307454072076,5.834871116239487,2.133570180873638,1.7672328477376547,34.59304168934564,0.33941579147457074,1.767534524927635,34.599735012256055,True
0.06,0.1,0.458477829821535,0.18980569812304535,5.83469537521258,2.1335061728074316,1.7672639789831144,34.59261872507368,0.3394174595118561,1.7675656658009395,34.59931199105678,True
