Normalized_Position,Lenke_Type_1,Lenke_Type_2,Lenke_Type_3,Lenke_Type_4,Lenke_Type_5,Lenke_Type_6
0.6767676767676768,0.7787136753961844,0.7815720563388052,0.760203033650264,0.7627673339997978,0.652269368750705,0.7010851605162437
0.686868686868687,0.7533326736711891,0.7564480339175355,0.7347114551921995,0.7374847530942612,0.6269992520927721,0.6755328231493098
0.696969696969697,0.7269151444664403,0.7302851435145403,0.708283063313555,0.7112624193868357,0.6012795047016969,0.6493269110762192
0.7070707070707072,0.6995366280120975,0.7031562837672983,0.6809903418175228,0.6841707127111443,0.5751670326292417,0.6225313849462154
0.7171717171717172,0.6712765933560346,0.6751381632357104,0.6529092432634476,0.6562833852711915,0.5487198693761183,0.595212308068651
0.7272727272727273,0.6422182903889164,0.6463111588699135,0.6241190553030369,0.6276774331890984,0.5219971269289188,0.5674377596433022
0.7373737373737375,0.6124485971048824,0.6167591698388073,0.5947022631555756,0.598432964280487,0.49505894616951124,0.5392777462953388
0.7474747474747475,0.5820578625477585,0.5865694671385758,0.5647444086104216,0.5686330624226001,0.46796644676767707,0.5108041121353508
0.7575757575757577,0.5511397459123679,0.5558325394189652,0.5343339459607657,0.5383636488949479,0.4407816766697781,0.4820904475711737
0.7676767676767677,0.5197910522892526,0.5246419354825771,0.5035620952875708,0.5077133410864444,0.4135675612980751,0.45321199710414456
0.7777777777777778,0.48811156555898527,0.49309410392927133,0.4725226935269272,0.47677330897641573,0.3863878525770365,0.42424556634808097
0.787878787878788,0.4562038789593183,0.4612882304337214,0.44131204376752453,0.44563712980961484,0.3593070779046059,0.39526942851465996
0.797979797979798,0.4241644404005485,0.4293149100322485,0.4100235753256437,0.41439347645147734,0.33240221675628095,0.36636822632336236
0.8080808080808082,0.392106925748252,0.39728145225489464,0.37876721098355615,0.383147101752215,0.30576286898520905,0.33764092410968927
0.8181818181818182,0.3601659054843898,0.3653158512414817,0.34767295103592477,0.35202267337021925,0.27949434685556196,0.30920410732515696
0.8282828282828284,0.3285019201938632,0.33357219910840247,0.3168958234298024,0.3211700030590662,0.2537218921305425,0.28119651297586407
0.8383838383838385,0.2973086697523232,0.3022382651931537,0.28662288332089636,0.290771368536631,0.2285965810386149,0.2537854064592223
0.8484848484848485,0.26675268318246276,0.2714822343314568,0.2570100546196561,0.2609841559006221,0.20422059669216128,0.22709567727397156
0.8585858585858587,0.23700097157349537,0.24147465653998998,0.22821378762822872,0.2319678192381193,0.18069676515989358,0.20125270800586742
0.8686868686868687,0.20822097853665172,0.21238820633350627,0.20039100465561957,0.20388366877652805,0.15812848690635603,0.17638232247144173
0.8787878787878789,0.18058053196471013,0.18439744789900053,0.17369904713244744,0.17689466451705535,0.1366196706282263,0.15261073550693366
0.888888888888889,0.15424779736715152,0.15767860747820536,0.14829562451353945,0.15116521649796505,0.11627466977822211,0.13006450464691907
0.8989898989898991,0.12939123305294134,0.13240935432448514,0.12433876525735756,0.12686099284661564,0.09719822206888111,0.10887048393778903
0.9090909090909092,0.10617954743375074,0.10876859161319351,0.10198677017182035,0.10414873678954768,0.07949539224971346,0.08915578013202191
0.9191919191919192,0.08478165872066644,0.08693625869583328,0.08139816841680424,0.08319609379889634,0.06327151845231381,0.07104771150972634
0.9292929292929294,0.06536665728795747,0.06709314609807196,0.06273167645399878,0.06417145006098542,0.04863216239895911,0.05467376957435503
0.9393939393939394,0.048103770977794884,0.049420724669706005,0.04614616023533159,0.047243783459474435,0.03568306377094485,0.04016158387001586
0.9494949494949496,0.03316233362010912,0.034100990301369156,0.031800600921394244,0.03258252827052005,0.024530099033569834,0.027638890168060228
0.9595959595959597,0.02071175704194209,0.02131632562809895,0.019854064421604915,0.020357454771879065,0.01527924501518274,0.01723350227095225
0.9696969696969697,0.010921506840874343,0.0112493801439651,0.010465675048157206,0.010738564970872149,0.008036547538103468,0.009073287681560963
0.9797979797979799,0.0039610821972731625,0.00408297015504413,0.003794593575849271,0.0038960056586761793,0.002908095399413896,0.0032861473862141727
0.98989898989899,-0.0,0.0,-0.0,-0.0,-0.0,0.0
1.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
