gravity,gravity_label,s,x_info,z_info,x_passive,z_passive,kappa_info,kappa_passive
9.81,1g (Earth),0.3838383838383838,0.32840125210169546,0.1795013134116207,0.3236371273860387,0.18532383399791308,-0.01500654671944504,0.16162897337006477
9.81,1g (Earth),0.3878787878787879,0.33134032409988257,0.18227380698225093,0.32645285634165516,0.1882215115607583,-0.02323044966057554,0.12121932782369169
9.81,1g (Earth),0.39191919191919194,0.33427961025460706,0.1850460735117099,0.3292669290736876,0.19112079758813558,-0.03484756556429208,0.08081128374655644
9.81,1g (Earth),0.39595959595959596,0.3372192216572564,0.18781799515763123,0.33207981824908683,0.1940212319170999,-0.050172712795395175,0.04040484113865958
9.81,1g (Earth),0.4,0.3401593091166437,0.19058941186048678,0.3348919970787193,0.1969223549823766,-0.06742276280300075,0.0
0.981,0.1g,0.0,0.0,0.0,0.0,0.0,3.9487057189113126,4.0007848
0.981,0.1g,0.00404040404040404,0.00404040404040404,0.0,0.00404040404040404,0.0,3.9253037200293632,3.9603649851239675
0.981,0.1g,0.00808080808080808,0.008080296908748293,6.426835935774659e-05,0.008080285532276368,6.497954555638341e-05,3.9026045049925355,3.919945330394858
0.981,0.1g,0.012121212121212121,0.012118668342335052,0.00019241270805760396,0.01211862068100603,0.00019426232185655533,3.881845579027333,3.8795258358126725
0.981,0.1g,0.01616161616161616,0.016154525281327277,0.0003840466760841885,0.01615441758563463,0.000387156474965251,3.8628522319347125,3.839106501377411
0.981,0.1g,0.0202020202020202,0.020186890101339842,0.0006387990421935502,0.020186716138102568,0.0006429556021690973,3.8453202518506373,3.7986873270890724
0.981,0.1g,0.024242424242424242,0.02421479916847791,0.0009563102334612494,0.024214587897564276,0.0009609397197664505,3.8288012679605834,3.7582683129476586
0.981,0.1g,0.028282828282828285,0.028237301921813944,0.0013362265520332945,0.028237135940918458,0.0013403762080233855,3.8126943705259246,3.717849458953168
0.981,0.1g,0.03232323232323232,0.032253460704948646,0.0017781919786938691,0.03225349469068118,0.0017805207330577554,3.7962461021547487,3.6774307651056013
0.981,0.1g,0.03636363636363636,0.036262351569546915,0.002281837534073685,0.03626282972131022,0.00228061814545269,3.7785606416755484,3.6370122314049587
0.981,0.1g,0.0404040404040404,0.040263066254967964,0.0028467683400753173,0.040264337545069175,0.00283990335543879,3.758621495742512,3.59659385785124
0.981,0.1g,0.044444444444444446,0.044254715505647226,0.0034725487083076827,0.04425724537849888,0.003457602184520612,3.735325280127227,3.556175644444445
