k_c,k_s,g_a,eval1_real,eval1_imag,eval2_real,eval2_imag
10.0,10.1,10.0,-10.05,-9.999874999218742,-10.05,9.999874999218742
10.0,10.0,0.0,-10.0,0.0,-10.0,0.0
10.0,10.0,0.10101010101010101,-10.0,-0.101010101010101,-10.0,0.101010101010101
10.0,10.0,0.20202020202020202,-10.0,-0.202020202020202,-10.0,0.202020202020202
10.0,10.0,0.30303030303030304,-10.0,-0.30303030303030304,-10.0,0.30303030303030304
10.0,10.0,0.40404040404040403,-10.0,-0.404040404040404,-10.0,0.404040404040404
10.0,10.0,0.5050505050505051,-10.0,-0.5050505050505051,-10.0,0.5050505050505051
10.0,10.0,0.6060606060606061,-10.0,-0.6060606060606061,-10.0,0.6060606060606061
10.0,10.0,0.7070707070707071,-10.0,-0.7070707070707071,-10.0,0.7070707070707071
10.0,10.0,0.8080808080808081,-10.0,-0.808080808080808,-10.0,0.808080808080808
10.0,10.0,0.9090909090909091,-10.0,-0.9090909090909092,-10.0,0.9090909090909092
10.0,10.0,1.0101010101010102,-10.0,-1.0101010101010102,-10.0,1.0101010101010102
10.0,10.0,1.1111111111111112,-10.0,-1.1111111111111112,-10.0,1.1111111111111112
10.0,10.0,1.2121212121212122,-10.0,-1.2121212121212122,-10.0,1.2121212121212122
10.0,10.0,1.3131313131313131,-10.0,-1.3131313131313131,-10.0,1.3131313131313131
10.0,10.0,1.4141414141414141,-10.0,-1.4141414141414144,-10.0,1.4141414141414144
10.0,10.0,1.5151515151515151,-10.0,-1.5151515151515154,-10.0,1.5151515151515154
