chi_kappa,L,P_counter,S_proprio,Deficit,Deficit_Ratio,Is_Deficit
0.04,0.3025641025641026,0.044080475876424906,0.08569239213121876,-0.04161191625479386,0.5144036101702646,False
0.04,0.3128205128205128,0.04711963537379402,0.08713270127132157,-0.04001306589752755,0.5407801512668441,False
0.04,0.3230769230769231,0.05026010018774215,0.08854958606624969,-0.038289485878507536,0.5675927174875703,False
0.04,0.33333333333333337,0.053501870318269217,0.08994415352968174,-0.036442283211412525,0.5948343301781532,False
0.04,0.3435897435897436,0.05684494576537528,0.09131742613454322,-0.03447248036916794,0.6224983354395288,False
0.04,0.35384615384615387,0.06028932652906032,0.09267035058477203,-0.032381024055711714,0.6505783796934,False
0.04,0.36410256410256414,0.06383501260932434,0.09400380545047822,-0.030168792841153882,0.6790683877468451,False
0.04,0.37435897435897436,0.06748200400616726,0.09531860784148158,-0.02783660383531432,0.7079625430366373,False
0.04,0.38461538461538464,0.07123030071958918,0.09661551926323718,-0.025385218543648003,0.7372552697824475,False
0.04,0.3948717948717949,0.0750799027495901,0.09789525077434427,-0.02281534802475417,0.7669412168181149,False
0.04,0.40512820512820513,0.07903081009616997,0.09915846754482721,-0.020127657448657243,0.7970152429034061,False
0.04,0.4153846153846154,0.08308302275932881,0.10040579289814582,-0.017322770138817,0.8274724033463919,False
0.04,0.4256410256410257,0.08723654073906664,0.10163781190665289,-0.014401271167586244,0.8583079377897983,False
0.04,0.4358974358974359,0.09149136403538347,0.1028550745993553,-0.01136371056397184,0.8895172590342658,False
