Normalized_Position_s,Alpha_Healthy,Alpha_Scoliotic,Stiffness_Healthy,Stiffness_Scoliotic,Lateral_Defect_Magnitude
0.7474747474747475,0.980585422656256,0.879374127281519,0.9692382169007586,0.8186390845857066,0.4933925159246684
0.7575757575757577,0.9806233721834635,0.8906369849485816,0.9692977584579741,0.8345873911666399,0.4607388041642939
0.7676767676767677,0.9808124220139873,0.9015975858818532,0.9695944057415552,0.8503025654943885,0.42829956711805917
0.7777777777777778,0.9811497885581861,0.9121204145148459,0.9701239260702187,0.8655709204597875,0.3963429080910687
0.787878787878788,0.9816304919950294,0.9220923302633228,0.9708787382515227,0.8802034124243558,0.36511120322873225
0.797979797979798,0.9822474092287109,0.9314257984705241,0.9718479783492117,0.8940432144451627,0.3348188021463261
0.8080808080808082,0.9829913512887828,0.9400603730897152,0.9730175973668377,0.9069708040428597,0.3056505128956083
0.8181818181818182,0.9838511660399144,0.9479623571895757,0.9743704935344794,0.9189061045187332,0.2777608489821036
0.8282828282828284,0.9848138671472975,0.9551227899029375,0.9758866823404919,0.9298076350335768,0.25127399487556074
0.8383838383838385,0.9858647901817376,0.9615540935403932,0.9775435076160651,0.9396690198434299,0.22628442844889124
0.8484848484848485,0.9869877765207047,0.9672858317329274,0.9793158968010276,0.9485135042170089,0.20285812445917123
0.8585858585858587,0.9881653852916014,0.972360066776943,0.9811766629507992,0.9563872795699688,0.18103425277460042
0.8686868686868687,0.9893791330041611,0.9768267686825809,0.9830968550592525,0.9633524288118819,0.16082727859165413
0.8787878787878789,0.9906097597349824,0.98073963999309,0.9850461568657597,0.9694801931630206,0.1422293692423722
0.888888888888889,0.9918375197772582,0.9841526050008598,0.9869933325103225,0.9748450799439826,0.12521301307845578
0.8989898989898991,0.9930424935864739,0.9871170935944267,0.9889067152547536,0.9795201251730464,0.10973375993103168
0.9090909090909092,0.9942049166876552,0.9896801463623948,0.9907547330927259,0.9835734336831129,0.09573299928764734
0.9191919191919192,0.9953055200257594,0.9918832885746794,0.992506462554998,0.9870659665229766,0.08314070104965984
0.9292929292929294,0.9963258751143924,0.9937620689688258,0.9941321995379678,0.9900504397769609,0.07187805395768188
0.9393939393939394,0.997248736353361,0.9953461325559911,0.9956040337267003,0.9925711388753349,0.06185994792924056
0.9494949494949496,0.9980583721286693,0.9966596898600593,0.9968964113409035,0.9946644299135596,0.05299725810148024
0.9595959595959597,0.9987408758598063,0.9977222522202076,0.9979866696905704,0.9963597540602909,0.04519889982489807
0.9696969696969697,0.9992844480853763,0.998549518557755,0.9988555265482362,0.9976809128095394,0.038373634791961514
0.9797979797979799,0.9996796410245565,0.9991543189294595,0.999487507743189,0.9986474824283136,0.032431618565524234
0.98989898989899,0.9999195578357619,0.9995475410901856,0.9998712977139725,0.999276229519549,0.02728568873792689
1.0,1.0,0.9997389861207212,1.0,0.9995824322957501,0.022852400627640282
