chi_kappa,L,P_cost,S_supply,R_deficit,In_Deficit
0.02,0.5736842105263158,0.03009480205402643,0.2658244385823452,0.11321307481931867,False
0.02,0.6,0.030094802054026412,0.27430249173193366,0.1097139215324264,False
0.03,0.1,0.0677133046215595,0.078257122951284,0.865266982325837,False
0.03,0.12631578947368421,0.06771330462155947,0.0921603734596511,0.7347334009144956,False
0.03,0.15263157894736842,0.06771330462155947,0.10521434485899063,0.6435748348983169,False
0.03,0.17894736842105263,0.06771330462155947,0.11760657399541748,0.5757612208327565,False
0.03,0.20526315789473684,0.0677133046215595,0.12946178230954772,0.5230370184434399,False
0.03,0.23157894736842105,0.06771330462155949,0.14086828596948178,0.4806852312821435,False
0.03,0.2578947368421053,0.06771330462155949,0.15189154959270423,0.44580034111925304,False
0.03,0.28421052631578947,0.06771330462155947,0.162581822900903,0.4164875470908709,False
0.03,0.31052631578947365,0.06771330462155947,0.1729787541762347,0.3914544589248898,False
0.03,0.3368421052631579,0.06771330462155947,0.18311433265185337,0.3697870267222587,False
0.03,0.3631578947368421,0.06771330462155946,0.19301484850613185,0.35081914757147964,False
0.03,0.3894736842105263,0.06771330462155944,0.2027022458833076,0.33405305563580634,False
0.03,0.4157894736842105,0.06771330462155946,0.2121950851949784,0.3191087322278937,False
0.03,0.44210526315789467,0.06771330462155949,0.22150924509292919,0.305690647779292,False
0.03,0.46842105263157896,0.06771330462155947,0.230658445819788,0.29356525134338,False
0.03,0.49473684210526314,0.06771330462155947,0.23965464685273533,0.28254534393889064,False
0.03,0.5210526315789473,0.06771330462155949,0.24850835410157143,0.2724789871405426,False
0.03,0.5473684210526315,0.06771330462155947,0.2572288607522977,0.26324147462894915,False
0.03,0.5736842105263158,0.06771330462155947,0.2658244385823452,0.254729418343467,False
0.03,0.6,0.06771330462155943,0.27430249173193366,0.2468563234479594,False
0.04,0.1,0.12037920821610583,0.078257122951284,1.538252413023711,True
0.04,0.12631578947368421,0.12037920821610573,0.0921603734596511,1.306192712736881,True
0.04,0.15263157894736842,0.12037920821610575,0.10521434485899063,1.1441330398192302,True
0.04,0.17894736842105263,0.12037920821610575,0.11760657399541748,1.0235755037026784,True
0.04,0.20526315789473684,0.12037920821610577,0.12946178230954772,0.9298435883438929,False
0.04,0.23157894736842105,0.12037920821610579,0.14086828596948178,0.8545515222793665,False
0.04,0.2578947368421053,0.12037920821610573,0.15189154959270423,0.7925339397675608,False
0.04,0.28421052631578947,0.12037920821610572,0.162581822900903,0.740422305939326,False
