Age_Years,Growth_Velocity_cm_yr,Spinal_Length_cm,Energy_Supply_L2,Energy_Demand_L4,Energy_Balance,Mechanosensory_Fidelity
11.416666666666666,6.107823209490075,48.26712384847481,2.8257366907437196,1.8077787986098386,1.017957892133881,1.0
11.5,6.246761043886481,48.47534921660436,2.850169852659619,1.824842820675107,1.025327031984512,1.0
11.583333333333332,6.396373472289753,48.68856166568069,2.875297185640827,1.8424812149808132,1.0328159706600137,1.0
11.666666666666666,6.556415534770571,48.90710885017304,2.9011676734226275,1.8607364568021545,1.040431216620473,1.0
11.75,6.726454453857169,49.13132399863494,2.927829516056731,1.8796514685079508,1.0481780475487803,1.0
11.833333333333332,6.905856930264959,49.361519229643775,2.9553293357189347,1.8992690979340527,1.056060237784882,1.0
11.916666666666666,7.093780097569411,49.59797856622942,2.9837113228412715,1.9196315366087553,1.0640797862325162,1.0
12.0,7.289166808858072,49.840950793191354,3.0130163361633198,1.9407796832402047,1.072236652923115,1.0
12.083333333333332,7.490745846963595,50.09064232142347,3.0432809730534753,1.9627524597944221,1.0805285132590532,1.0
12.166666666666666,7.697037536188132,50.347210239296416,3.074536628995279,1.9855860894542157,1.0889505395410635,1.0
12.25,7.906365089367072,50.610755742275316,3.106808567359516,2.009313347716821,1.097495219642695,1.0
12.333333333333332,8.116871853280925,50.88131813738468,3.1401150223818357,2.0339627998179637,1.106152222563872,1.0
12.416666666666666,8.326544423074862,51.158869618153844,3.1744663595331466,2.0595580395102897,1.114908320022857,1.0
12.5,8.53324138928858,51.44331099779679,3.2098643181071616,2.0861169459124183,1.1237473721947433,1.0
12.583333333333332,8.734727267429706,51.73446857337778,3.246301360768008,2.113650976607158,1.1326503841608497,1.0
12.666666666666666,8.928710948790677,52.032092271670805,3.283760153928174,2.142164516317692,1.1415956376104823,1.0
12.75,9.112887811993323,52.33585519873725,3.322213201111264,2.171654301231911,1.150558899879353,1.0
12.833333333333332,9.284984457176392,52.64535468064313,3.3616226488695333,2.2021089392734705,1.1595137095960628,1.0
